Predict,Label
pine tree,mountain
cloud,sea
orchid,tulip
bear,butterfly
whale,skunk
elephant,wolf
bear,skunk
rabbit,dinosaur
bowl,plate
snail,turtle
forest,palm tree
squirrel,porcupine
butterfly,cockroach
bear,skunk
woman,beaver
boy,flatfish
dolphin,rocket
elephant,camel
kangaroo,rabbit
apple,beetle
woman,girl
poppy,sunflower
squirrel,porcupine
woman,ray
whale,flatfish
woman,flatfish
bear,snail
road,forest
woman,boy
dolphin,ray
squirrel,caterpillar
dolphin,crocodile
bear,chimpanzee
snake,skunk
orchid,crab
dolphin,whale
oak tree,pine tree
seal,sea
orange,pear
wolf,cattle
rose,tulip
mountain,mouse
woman,man
bear,shrew
bear,forest
camel,possum
bear,beaver
seal,cockroach
tank,couch
bus,caterpillar
mountain,pine tree
wardrobe,chair
woman,cockroach
squirrel,beaver
clock,television
lamp,bowl
oak tree,maple tree
apple,worm
apple,sweet pepper
bear,beaver
apple,sweet pepper
dolphin,shark
mushroom,possum
woman,squirrel
wolf,cup
beetle,cockroach
beetle,cockroach
rabbit,porcupine
cattle,plain
rocket,shark
forest,train
forest,pine tree
bus,streetcar
cloud,crocodile
bed,skyscraper
apple,snail
road,bridge
otter,caterpillar
house,skyscraper
bear,spider
oak tree,maple tree
bear,flatfish
beetle,cockroach
girl,boy
bear,beaver
apple,keyboard
apple,can
woman,road
lion,leopard
woman,skyscraper
seal,otter
butterfly,trout
bee,aquarium fish
snake,worm
house,willow tree
apple,sweet pepper
house,leopard
snail,caterpillar
chimpanzee,raccoon
mushroom,snake
chimpanzee,raccoon
bear,kangaroo
fox,leopard
orange,tulip
dolphin,crocodile
turtle,lizard
house,willow tree
bottle,can
shark,ray
forest,willow tree
bee,beetle
caterpillar,snail
snail,caterpillar
mushroom,leopard
woman,lion
bear,elephant
flatfish,turtle
bear,bowl
apple,flatfish
woman,cattle
ray,lobster
wolf,fox
shark,whale
mushroom,lamp
apple,bowl
forest,willow tree
mushroom,raccoon
orchid,tulip
bottle,train
house,television
mushroom,crab
snake,crocodile
hamster,rabbit
lion,crocodile
